chr1 	11797787
chr1 	194360621
chr1 	108918067
chr1 	132619867
chr1 	204424908
chr1 	208812929
chr1 	215943378
chr1 	46915423
chr1 	144052776
chr1 	161974976
chr1 	187028336
chr1 	154686948
chr1 	33268655
chr1 	145037460
chr1 	102009493
chr1 	228449225
chr1 	226594830
chr1 	212086014
chr1 	26377679
chr1 	147995676
chr1 	86110440
chr1 	189568101
chr1 	117033203
chr1 	40458431
chr1 	4923055
chr1 	184446934
chr1 	181405168
chr1 	20997201
chr1 	61622439
chr1 	19432726
chr1 	95249642
chr1 	78600390
chr1 	115924638
chr1 	86447289
chr1 	200457720
chr1 	146491606
chr1 	209206268
chr1 	66118698
chr1 	72665033
chr1 	52328989
chr1 	167835428
chr1 	168247087
chr1 	217849562
chr1 	16755179
chr1 	44799833
chr1 	229716566
chr1 	82552602
chr1 	57653855
chr1 	25076234
chr1 	186869338
chr1 	88848386
chr1 	79172113
chr1 	185487538
chr1 	112837265
chr1 	133611028
chr1 	134672164
chr1 	73624137
chr1 	200554039
chr1 	45731974
chr1 	27918343
chr1 	107265674
chr1 	90521351
chr1 	58450598
chr1 	34411834
chr1 	5032659
chr1 	27118219
chr1 	186848053
chr1 	74788284
chr1 	173698976
chr1 	16639136
chr1 	222841034
chr1 	71262986
chr1 	119198001
chr1 	164754077
chr1 	202675047
chr1 	209493048
chr1 	19575922
chr1 	125402432
chr1 	160552193
chr1 	179850350
chr1 	189014519
chr1 	40022085
chr1 	167371371
chr1 	146447198
chr1 	16922046
chr1 	17478867
chr1 	87229348
chr1 	175130447
chr1 	88540974
chr1 	22961558
chr1 	195164851
chr1 	216868951
chr1 	24943230
chr1 	80041380
chr1 	89768251
chr1 	89773928
chr1 	158569008
chr1 	178826041
chr1 	15849150
chr1 	22646277
