Fly_ID_9999	0.358	0.233	0.181	0.227	0.175	0.084
Fly_ID_9998	0.241	0.220	0.199	0.151	0.123	0.129
Fly_ID_9997	0.372	0.287	0.194	0.107	0.116	0.093
Fly_ID_9996	0.342	0.260	0.232	0.238	0.155	0.147
Fly_ID_9995	0.281	0.280	0.224	0.127	0.127	0.092
Fly_ID_9994	0.289	0.226	0.195	0.204	0.172	0.094
Fly_ID_9993	0.304	0.201	0.151	0.102	0.173	0.112
Fly_ID_9992	0.337	0.195	0.179	0.235	0.184	0.145
Fly_ID_9991	0.226	0.255	0.214	0.121	0.091	0.091
Fly_ID_9990	0.371	0.188	0.227	0.204	0.159	0.095
Fly_ID_999	0.245	0.236	0.170	0.240	0.081	0.145
Fly_ID_9989	0.290	0.233	0.162	0.210	0.141	0.084
Fly_ID_9988	0.308	0.299	0.206	0.137	0.101	0.088
Fly_ID_9987	0.290	0.158	0.193	0.192	0.123	0.117
Fly_ID_9986	0.358	0.276	0.224	0.143	0.192	0.148
Fly_ID_9985	0.366	0.229	0.247	0.182	0.132	0.109
Fly_ID_9984	0.350	0.175	0.162	0.193	0.165	0.087
Fly_ID_9983	0.233	0.277	0.210	0.125	0.152	0.121
Fly_ID_9982	0.205	0.242	0.238	0.108	0.125	0.121
Fly_ID_9981	0.395	0.167	0.173	0.127	0.123	0.117
Fly_ID_9980	0.352	0.244	0.195	0.168	0.095	0.097
Fly_ID_998	0.228	0.206	0.199	0.230	0.153	0.110
Fly_ID_9979	0.209	0.176	0.249	0.189	0.170	0.104
Fly_ID_9978	0.364	0.188	0.219	0.118	0.104	0.098
Fly_ID_9977	0.282	0.221	0.243	0.157	0.155	0.149
Fly_ID_9976	0.286	0.172	0.152	0.147	0.089	0.099
Fly_ID_9975	0.217	0.173	0.169	0.235	0.179	0.134
Fly_ID_9974	0.396	0.219	0.191	0.145	0.080	0.085
Fly_ID_9973	0.326	0.196	0.213	0.183	0.099	0.138
Fly_ID_9972	0.266	0.196	0.156	0.129	0.167	0.146
Fly_ID_9971	0.279	0.237	0.193	0.188	0.163	0.117
Fly_ID_9970	0.256	0.235	0.210	0.119	0.195	0.141
Fly_ID_997	0.354	0.270	0.191	0.139	0.164	0.144
Fly_ID_9969	0.379	0.199	0.217	0.246	0.142	0.144
Fly_ID_9968	0.208	0.151	0.151	0.231	0.140	0.117
Fly_ID_9967	0.265	0.217	0.166	0.155	0.085	0.144
Fly_ID_9966	0.366	0.279	0.246	0.239	0.196	0.089
Fly_ID_9965	0.204	0.276	0.209	0.116	0.158	0.085
Fly_ID_9964	0.246	0.168	0.190	0.134	0.089	0.127
Fly_ID_9963	0.272	0.254	0.229	0.109	0.198	0.082
Fly_ID_9962	0.359	0.242	0.156	0.209	0.142	0.116
Fly_ID_9961	0.341	0.247	0.249	0.162	0.089	0.088
Fly_ID_9960	0.265	0.193	0.172	0.248	0.177	0.146
Fly_ID_996	0.262	0.207	0.232	0.125	0.117	0.144
Fly_ID_9959	0.254	0.197	0.156	0.188	0.092	0.125
Fly_ID_9958	0.383	0.185	0.161	0.229	0.124	0.135
Fly_ID_9957	0.276	0.209	0.218	0.186	0.149	0.081
Fly_ID_9956	0.373	0.239	0.199	0.233	0.148	0.123
Fly_ID_9955	0.233	0.287	0.165	0.239	0.156	0.116
Fly_ID_9954	0.253	0.296	0.169	0.194	0.119	0.111
Fly_ID_9953	0.361	0.226	0.190	0.249	0.084	0.082
Fly_ID_9952	0.345	0.289	0.183	0.172	0.196	0.117
Fly_ID_9951	0.349	0.230	0.225	0.197	0.177	0.140
Fly_ID_9950	0.326	0.254	0.229	0.219	0.137	0.105
Fly_ID_995	0.336	0.247	0.153	0.213	0.085	0.144
Fly_ID_9949	0.282	0.279	0.237	0.187	0.172	0.095
Fly_ID_9948	0.352	0.287	0.153	0.243	0.101	0.096
Fly_ID_9947	0.251	0.250	0.243	0.181	0.106	0.111
Fly_ID_9946	0.236	0.177	0.172	0.121	0.119	0.091
Fly_ID_9945	0.226	0.266	0.169	0.182	0.160	0.099
Fly_ID_9944	0.254	0.228	0.201	0.180	0.112	0.101
Fly_ID_9943	0.244	0.172	0.190	0.187	0.088	0.085
Fly_ID_9942	0.241	0.215	0.161	0.209	0.117	0.108
Fly_ID_9941	0.363	0.233	0.216	0.133	0.193	0.081
Fly_ID_9940	0.279	0.260	0.207	0.190	0.159	0.111
Fly_ID_994	0.323	0.171	0.186	0.169	0.185	0.117
